Time (Seconds),ROI 5,ROI 15,ROI 43,ROI 57,ROI 80
156,0.291423,0.6670419999999999,0.5295040000000001,0.34320297947817696,0.35090299999999996
157,0.28974700000000003,0.6779280000000001,0.5636720000000001,0.348055584445698,0.364225
158,0.281725,0.6817139999999999,0.596754,0.34920283162040305,0.38181200000000004
159,0.276408,0.6748829999999999,0.6218680000000001,0.354795543288765,0.397672
160,0.28508,0.671492,0.656344,0.373368510857996,0.41701299999999997
161,0.331256,0.6736359999999999,0.6725150000000001,0.378748673951197,0.41534899999999997
162,0.358861,0.664895,0.683523,0.383172096371672,0.43129699999999993
163,0.350341,0.651681,0.7024590000000001,0.375108042824094,0.46010399999999996
164,0.323959,0.632492,0.71402,0.37066563161302396,0.45203099999999996
165,0.310681,0.615335,0.722008,0.370850570265664,0.44106899999999993
166,0.326019,0.590822,0.711458,0.36316414396688496,0.428304
167,0.355332,0.5742229999999999,0.73072,0.364444917629322,0.43770299999999995
168,0.377648,0.560665,0.708288,0.360783127493941,0.447929
169,0.397512,0.5312810000000001,0.70081,0.37010549445411695,0.437377
170,0.430148,0.5116609999999999,0.689995,0.354137141998832,0.44671099999999997
171,0.45114600000000005,0.47666100000000006,0.688218,0.340869660735125,0.45058200000000004
172,0.472106,0.45499400000000007,0.678405,0.34719509464268,0.448785
173,0.49017600000000006,0.41971600000000003,0.6390520000000001,0.36700277751402005,0.440971
174,0.518431,0.407264,0.632349,0.414349747244181,0.436793
175,0.54614,0.37813199999999997,0.604546,0.42077264779512996,0.431937
176,0.56548,0.35146800000000006,0.591245,0.426527453344881,0.42161499999999996
177,0.596182,0.325505,0.5804940000000001,0.45715657404634996,0.42223199999999994
178,0.610918,0.30523,0.564119,0.46845430618464695,0.42721
179,0.636512,0.279727,0.547097,0.483714246305141,0.41519300000000003
180,0.663718,0.262252,0.543647,0.48794958734312704,0.38973199999999997
181,0.688715,0.24124600000000002,0.525466,0.505610158881804,0.39037900000000003
182,0.697163,0.227661,0.5048020000000001,0.552975365418382,0.375912
183,0.705397,0.21647100000000002,0.49925300000000006,0.585142243585083,0.36256199999999994
184,0.704664,0.204704,0.48840300000000003,0.625408925555403,0.342615
185,0.70071,0.19888300000000003,0.47563,0.6807430952238109,0.327736
186,0.710716,0.19148900000000002,0.45327800000000007,0.7157214491686801,0.305222
187,0.711979,0.179535,0.44007700000000005,0.760587226354531,0.28293900000000005
188,0.700417,0.16301,0.43085300000000004,0.792175591180158,0.270923
189,0.71463,0.153804,0.4252600000000001,0.8198212257495281,0.25403
190,0.698929,0.145607,0.4299550000000001,0.845010636553357,0.239534
191,0.71104,0.144384,0.429376,0.8637507485025671,0.235517
192,0.698394,0.145878,0.433732,0.8740471140424271,0.244497
193,0.671531,0.14980300000000002,0.418929,0.869529711479337,0.24475700000000003
194,0.6577040000000001,0.15278000000000003,0.4016930000000001,0.881546750366557,0.23580399999999999
195,0.628775,0.15660000000000002,0.39148800000000006,0.879476936334197,0.24871800000000002
196,0.61316,0.16587800000000003,0.392425,0.874752909120057,0.25647
197,0.5905320000000001,0.183195,0.379112,0.8502970101164271,0.250633
198,0.574614,0.197838,0.35524900000000004,0.8346082501200771,0.255552
199,0.570361,0.20354,0.33918800000000005,0.811562395422446,0.26667300000000005
200,0.547039,0.19336600000000004,0.321697,0.7945034890342211,0.266351
201,0.537073,0.197978,0.303654,0.771411853433968,0.27591699999999997
202,0.530311,0.219096,0.295825,0.7568543446155771,0.272756
203,0.52607,0.22712,0.28482799999999997,0.730609930463312,0.282879
204,0.5117200000000001,0.24000500000000002,0.29238,0.7120838093429991,0.299246
205,0.513524,0.262393,0.302106,0.708058189779891,0.320024
206,0.527024,0.270858,0.30437499999999995,0.6809343591794621,0.334781
207,0.535544,0.27864500000000003,0.32742099999999996,0.667702150888166,0.35924
208,0.531777,0.269007,0.340206,0.6594932448589379,0.38427900000000004
209,0.5332520000000001,0.278164,0.339214,0.6361420405699381,0.41886
210,0.550787,0.29458100000000004,0.35663599999999995,0.611323546728558,0.44484499999999993
211,0.546056,0.33512800000000004,0.39354500000000003,0.607383380259988,0.47953599999999996
212,0.534968,0.374677,0.417621,0.5929819740383231,0.49665000000000004
213,0.5320860000000001,0.43739,0.454939,0.5803735250161259,0.533596
214,0.527566,0.48988899999999996,0.490522,0.574886019127925,0.557239
215,0.534316,0.529047,0.533968,0.551809429230034,0.578107
216,0.501305,0.568225,0.5884780000000001,0.5320138870858091,0.58358
217,0.499456,0.6029580000000001,0.6406890000000001,0.486301258065353,0.5960449999999999
218,0.475372,0.628274,0.686646,0.463935141150489,0.600472
219,0.45543200000000006,0.6428050000000001,0.725716,0.451760928890413,0.60434
220,0.44094200000000006,0.6715340000000001,0.7539990000000001,0.43124551654748106,0.598625
221,0.43041799999999997,0.6916880000000001,0.780825,0.42060581471143205,0.599845
222,0.42173499999999997,0.6963980000000001,0.80967,0.408482620623463,0.604676
223,0.406192,0.701781,0.810895,0.40595600293073303,0.585336
224,0.41106200000000004,0.6940520000000001,0.824824,0.391529230818733,0.58837
225,0.39520900000000003,0.6972659999999999,0.810515,0.38699306298667197,0.57328
226,0.412296,0.685484,0.8047000000000001,0.37073287762797297,0.549684
227,0.41371500000000005,0.6862060000000001,0.8162550000000001,0.35391445203214805,0.541596
228,0.41743300000000005,0.66629,0.793146,0.35081971797319805,0.519712
229,0.42552999999999996,0.6607989999999999,0.794587,0.342274804350072,0.517674
230,0.452454,0.642301,0.772032,0.34672466160282606,0.49869299999999994
231,0.464341,0.6252340000000001,0.745934,0.340719761930066,0.487472
232,0.48765100000000006,0.6007370000000001,0.736844,0.327214436611439,0.46581799999999995
233,0.515548,0.579115,0.704119,0.322901219238539,0.452094
234,0.543975,0.5586340000000001,0.693975,0.320399225723879,0.442315
235,0.5797,0.532818,0.681671,0.317763621693848,0.42371800000000004
236,0.613592,0.500942,0.665325,0.331083048737181,0.402768
237,0.610639,0.47604700000000005,0.65018,0.35093941173694804,0.39220599999999994
238,0.644688,0.44616800000000006,0.639063,0.33429475142667503,0.368742
239,0.6365460000000001,0.41256699999999996,0.627946,0.327648570036609,0.34477500000000005
240,0.656064,0.386619,0.605183,0.335097982359243,0.331921
241,0.65868,0.36191100000000004,0.596155,0.323223969155752,0.30487700000000006
242,0.67882,0.335074,0.5808880000000001,0.322487812301465,0.295168
243,0.686278,0.31456,0.557494,0.334525171279664,0.28114300000000003
244,0.696594,0.30295700000000003,0.547886,0.326885071253119,0.262069
245,0.711552,0.279635,0.536459,0.331856323915229,0.255108
246,0.712087,0.264849,0.528634,0.33567843459143604,0.26830600000000004
247,0.714445,0.250044,0.5060990000000001,0.33805840126840697,0.26712900000000006
248,0.702538,0.232838,0.508142,0.34160527777353306,0.25391700000000006
249,0.679361,0.21845599999999998,0.48538900000000007,0.357759574365412,0.249773
250,0.660447,0.205822,0.4745400000000001,0.365457553463249,0.236922
251,0.647414,0.199791,0.4761500000000001,0.39361058539449095,0.23241600000000004
252,0.632622,0.20239800000000002,0.470496,0.42385019553072795,0.229953
253,0.620418,0.21644600000000003,0.47544700000000006,0.46224550993874497,0.23014300000000001
254,0.626414,0.224373,0.4837330000000001,0.463996086193497,0.215295
255,0.601402,0.234228,0.47677,0.46289199497015504,0.20211000000000004
